,0,1
"(2490688, 'D15')",5.022910537851102,0.7972971801309477
"(2490688, 'G06')",-2.5355820716175743,1.0297421201721775
"(2490688, 'H09')",-3.9062172137765954,0.3476134684602951
"(2490688, 'I06')",-7.054932389925882,-4.414940285150154
"(2490688, 'M09')",-22.396320151731167,1.7351005535977735
"(2490688, 'N13')",0.40791694512201376,0.10287023268264761
"(2490688, 'N20')",-2.1207510927957887,-0.6914360176737323
"(2490688, 'F03')",-0.8350275185623267,0.3567063310700812
"(2490688, 'E18')",-16.830377244122648,-4.825503838029504
"(2490688, 'G05')",-11.866433933449954,-3.5357833001763623
"(2490688, 'K22')",-10.995779050278378,1.0294222193248885
"(2490688, 'G18')",-16.548187573640792,1.5737278509818629
"(2490688, 'G22')",-12.28298190373087,-3.9129136368985136
"(2490688, 'K07')",-15.006678019414807,-1.3635366147281058
"(2490688, 'E17')",-21.535339519875393,6.577833647302194
"(2490688, 'I07')",-9.935736939497687,-3.758973852193184
"(2490688, 'J15')",1.730558618259146,1.3824452249677686
"(2490688, 'J14')",1.4925202431568947,-2.5634671438453176
"(2490688, 'I16')",-18.558983242729862,7.0256908466842605
"(2490688, 'G04')",-16.115672865754515,-0.3823175290190981
"(2490688, 'F15')",4.471547380926685,1.94070074794817
"(2490688, 'M12')",-19.581624619847606,15.584704448710045
"(2490688, 'C09')",-7.62420846441398,-3.8020632820499474
"(2490688, 'F14')",3.2115724074758045,3.057171446900724
"(2490688, 'C11')",-14.69840547189161,-1.9189645404594564
"(2490688, 'D10')",0.04694897850027225,0.6656454614344469
"(2490688, 'I04')",-14.357477267276613,-0.15669431988734636
"(2490688, 'C14')",-16.00650430889598,-2.822313097648352
"(2490688, 'M16')",-21.38588049073826,9.540421954559744
"(2490688, 'L06')",-4.175019399825639,2.1471860003972734
"(2490688, 'K04')",-12.656835309395886,-5.039880730570787
"(2490688, 'F07')",-2.5532105158816867,-2.2153814162784284
"(2490688, 'D06')",2.0474186872087197,1.3431997535237148
"(2490688, 'F12')",-5.535935176981218,-2.6543238861659875
"(2490688, 'C17')",-9.92783929586955,-1.838467820153201
"(2490688, 'I14')",-14.441302284191934,-3.804276969114387
"(2490688, 'H03')",0.6932857188168339,2.7183697374442546
"(2490688, 'N15')",2.9536645442503895,5.233932114079661
"(2490688, 'F17')",2.163883704709808,-2.8132905424464245
"(2490688, 'E16')",-10.537657626066459,-0.7232346287274761
"(2490688, 'M22')",-13.35716316721842,11.793823364917909
"(2490688, 'H14')",-15.188617408138242,0.4567597319933389
"(2490688, 'E19')",-11.142815136101204,1.8197559978736535
"(2490688, 'M17')",-19.830599284645753,3.02243970699109
"(2490688, 'H21')",-2.8377391010112984,5.409453041972811
"(2490688, 'N04')",-9.065378214485584,-1.529395415538783
"(2490688, 'J09')",0.23143078245719054,-0.8106665244962364
"(2490688, 'L07')",2.536804251933507,9.220367430556035
"(2490688, 'E03')",-14.911035186588832,-1.6453768577026975
"(2490688, 'N07')",2.663800250933882,6.113651572560386
"(2490688, 'D17')",2.199303978822686,0.48385090132185005
"(2490688, 'L22')",-2.83602525526561,0.7411872861791047
"(2490688, 'L12')",-7.262593058504404,-2.670079644721249
"(2490688, 'I19')",-12.349174896816663,2.8848042683753548
"(2490688, 'K05')",-12.56101380607614,-1.3668811392192708
"(2490688, 'J10')",-1.7263949655474486,-1.227050488125079
"(2490688, 'F13')",-20.70284169270906,-0.2033003007162384
"(2490688, 'K09')",-11.927967577558542,-0.07474732180869333
